時間,Group1_AI分析中#08,Group2_AI分析中#05,Group3_AI分析中#02,Group4_AI分析中#03,Group4_AI分析中#07,Group5_AI分析中#01,Group5_AI分析中#04,Group5_AI分析中#06,
00:00,0,0,47.8,0,0,0,0,7.3999999999999995,
00:01,0,0,45.800000000000004,0,0,0,0,8,
00:02,0,0,45.800000000000004,0,0,0,0.2,7.8,
00:03,0,0,47.199999999999996,0,0,0,0,7.6,
00:04,0,0,38.6,1.2,0,0,1.2,7.8,
00:05,0,0,39.800000000000004,0,0,0,1,8.4,
00:06,0,0,37.8,0,0,0,1.4000000000000001,8.799999999999999,
00:07,0,0,39.6,0,0,0,0.8,8.4,
00:08,0,0,40.8,0,0,0,0.6,8.200000000000001,
00:09,0,0,40.400000000000006,0,0,0,1,8.6,
00:10,0,0,40.6,0,0,0,0.6,8,
00:11,0,0,39.4,0,0,0,1.2,8.200000000000001,
00:12,0,0,37.8,2,0,0,1,7.199999999999999,
00:13,0,0,39.800000000000004,0,0,0,0.8,8.4,
00:14,0,0,45,0,0,0,0.2,7.8,
00:15,0,0,46.2,0,0,0,0,7.3999999999999995,
00:16,0,0,46.2,0,0,0,0,7.6,
00:17,0,0,46.400000000000006,0,0,0,0,7.3999999999999995,
00:18,0,0,42,0,0,0,0.6,8.200000000000001,
00:19,0,0,39,0,0,0,1.2,8.6,
00:20,0,0,38.6,0,0,0,1.4000000000000001,8.799999999999999,
00:21,0,0,40.400000000000006,0,0,0,1,8.4,
00:22,0,0,39.800000000000004,0,0,0,0.6,8.200000000000001,
00:23,0,0,39.6,0,0,0,0.8,8.200000000000001,
00:24,0,0,39,0,0,0,1.2,8.6,
00:25,0,0,39,0,0,0,1,8.4,
00:26,0,0,39.6,1.2,0,0,0.2,8.200000000000001,
00:27,0,0,39,0.4,0,0,1.2,8.4,
00:28,0,0,41.6,1.4000000000000001,0,0,0.8,7.3999999999999995,
00:29,0,0,46.800000000000004,0,0,0,0,7.3999999999999995,
00:30,0,0,46.400000000000006,0,0,0,0,7.3999999999999995,
00:31,0,0,46.6,0,0,0,0,7.199999999999999,
00:32,0,0,44.800000000000004,0,0,0,0,7.6,
00:33,0,0,39.800000000000004,0,0,0,0.6,8,
00:34,0,0,39.6,0,0,0,0.8,8,
00:35,0,0,39.6,0,0,0,0.8,8.200000000000001,
00:36,0,0,40.2,0.4,0,0,0.6,7.8,
00:37,0,0,39.6,0,0,0,0.8,8.4,
00:38,0,0,40.400000000000006,0,0,0,0.4,7.8,
00:39,0,0,39.6,0,0,0,0.6,8,
00:40,0,0,40.2,0,0,0,0.6,8,
00:41,0,0,40,0.8,0,0,0.6,7.6,
00:42,0,0,40.2,0,0,0,0.8,8.200000000000001,
00:43,0,0,45.6,0,0,0,0.2,7.6,
00:44,0,0,47.599999999999994,0,0,0,0,7.000000000000001,
00:45,0,0,48.4,0,0,0,0,7.000000000000001,
00:46,0,0,47.4,0,0,0,0,7.199999999999999,
00:47,0,0,41,0,0,0,0.6,8,
00:48,0,0,38.4,1.2,0,0,1.2,7.8,
00:49,0,0,40,0,0,0,0.8,8.4,
00:50,0,0,39.4,0.4,0,0,1,8,
00:51,0,0,38.6,1.2,0,0,0.4,8,
00:52,0,0,39.6,0,0,0,1,8.200000000000001,
00:53,0,0,40.2,0,0,0,0.8,8.200000000000001,
00:54,0,0,39.4,0,0,0,1,8.4,
00:55,0,0,40,0,0,0,0.8,8.4,
00:56,0,0,38.6,0,0,0,1.2,8.6,
00:57,0,0,43.2,0,0,0,0.2,7.6,
00:58,0,0,47,0,0,0,0,7.199999999999999,
00:59,0,0,47.599999999999994,0,0,0,0,7.000000000000001,
01:00,0,0,47.4,0,0,0,0,7.3999999999999995,
01:01,0,0,45.6,0,0,0,0,7.6,
01:02,0,0,39.4,0,0,0,0.8,8.200000000000001,
01:03,0,0,40.6,0,0,0,0.6,8.200000000000001,
01:04,0,0,39.4,1.4000000000000001,0,0,0.8,7.3999999999999995,
01:05,0,0,39.6,0,0,0,0.8,8.4,
01:06,0,0,39.4,0,0,0,1,8.4,
01:07,0,0,38,1.4000000000000001,0,0,1.2,7.6,
01:08,0,0,38.4,1.2,0,0,1.2,7.8,
01:09,0,0,39.4,0,0,0,1.2,8.6,
01:10,0,0,39.2,0,0,0,1,8.4,
01:11,0,0,39,0.8,0,0,1,7.8,
01:12,0,0,46.800000000000004,0,0,0,0,7.3999999999999995,
01:13,0,0,46.800000000000004,0,0,0,0,7.3999999999999995,
01:14,0,0,46.400000000000006,0,0,0,0,7.3999999999999995,
